2022-07-06 00:07:878 INFO  HomePage :79 - I clicked on search Button:[[ChromeDriver: chrome on WINDOWS (af0b269dffd9d66a235a2be38c74f3df)] -> id: nav-search-submit-button]
2022-07-06 00:07:804 INFO  ManageDriver :33 - Launching Chrome Browser
2022-07-06 00:07:510 INFO  HomePage :59 - I clicked on Accept cookies: [[ChromeDriver: chrome on WINDOWS (ac3378d8c763f9e1269495e99c306f43)] -> xpath: //input[@id='sp-cc-accept']]
2022-07-06 00:07:742 INFO  HomePage :64 - I click on search in dropdown : [[ChromeDriver: chrome on WINDOWS (ac3378d8c763f9e1269495e99c306f43)] -> xpath: //select[@id='searchDropdownBox']]
2022-07-06 00:07:984 INFO  HomePage :69 - I select books from the dropdown : [[ChromeDriver: chrome on WINDOWS (ac3378d8c763f9e1269495e99c306f43)] -> xpath: //*[@id="searchDropdownBox"]/option[12]]
2022-07-06 00:07:336 INFO  HomePage :74 - Enter Bitcoin in the search : Bitcoin
2022-07-06 00:07:499 INFO  HomePage :79 - I clicked on search Button:[[ChromeDriver: chrome on WINDOWS (ac3378d8c763f9e1269495e99c306f43)] -> id: nav-search-submit-button]
2022-07-06 00:07:649 INFO  ManageDriver :33 - Launching Chrome Browser
2022-07-06 00:07:38 INFO  HomePage :59 - I clicked on Accept cookies: [[ChromeDriver: chrome on WINDOWS (3d331d67ea4cbbe0c306e8adc0fcf401)] -> xpath: //input[@id='sp-cc-accept']]
2022-07-06 00:07:381 INFO  HomePage :64 - I click on search in dropdown : [[ChromeDriver: chrome on WINDOWS (3d331d67ea4cbbe0c306e8adc0fcf401)] -> xpath: //select[@id='searchDropdownBox']]
2022-07-06 00:07:595 INFO  HomePage :69 - I select books from the dropdown : [[ChromeDriver: chrome on WINDOWS (3d331d67ea4cbbe0c306e8adc0fcf401)] -> xpath: //*[@id="searchDropdownBox"]/option[12]]
2022-07-06 00:07:921 INFO  HomePage :74 - Enter Bitcoin in the search : Bitcoin
2022-07-06 00:07:47 INFO  HomePage :79 - I clicked on search Button:[[ChromeDriver: chrome on WINDOWS (3d331d67ea4cbbe0c306e8adc0fcf401)] -> id: nav-search-submit-button]
2022-07-06 00:07:756 INFO  ManageDriver :33 - Launching Chrome Browser
2022-07-06 00:07:345 INFO  HomePage :59 - I clicked on Accept cookies: [[ChromeDriver: chrome on WINDOWS (b3e6dab9a1f225045863b0bd0a1d1256)] -> xpath: //input[@id='sp-cc-accept']]
2022-07-06 00:07:669 INFO  HomePage :64 - I click on search in dropdown : [[ChromeDriver: chrome on WINDOWS (b3e6dab9a1f225045863b0bd0a1d1256)] -> xpath: //select[@id='searchDropdownBox']]
2022-07-06 00:07:829 INFO  HomePage :69 - I select books from the dropdown : [[ChromeDriver: chrome on WINDOWS (b3e6dab9a1f225045863b0bd0a1d1256)] -> xpath: //*[@id="searchDropdownBox"]/option[12]]
2022-07-06 00:07:38 INFO  HomePage :74 - Enter Bitcoin in the search : Bitcoin
2022-07-06 00:07:195 INFO  HomePage :79 - I clicked on search Button:[[ChromeDriver: chrome on WINDOWS (b3e6dab9a1f225045863b0bd0a1d1256)] -> id: nav-search-submit-button]
2022-07-06 00:07:557 INFO  ManageDriver :33 - Launching Chrome Browser
2022-07-06 00:07:446 INFO  HomePage :59 - I clicked on Accept cookies: [[ChromeDriver: chrome on WINDOWS (7be7eafc3317ba381128d18f803c7f54)] -> xpath: //input[@id='sp-cc-accept']]
2022-07-06 00:07:791 INFO  HomePage :64 - I click on search in dropdown : [[ChromeDriver: chrome on WINDOWS (7be7eafc3317ba381128d18f803c7f54)] -> xpath: //select[@id='searchDropdownBox']]
2022-07-06 00:07:980 INFO  HomePage :69 - I select books from the dropdown : [[ChromeDriver: chrome on WINDOWS (7be7eafc3317ba381128d18f803c7f54)] -> xpath: //*[@id="searchDropdownBox"]/option[12]]
2022-07-06 00:07:186 INFO  HomePage :74 - Enter Bitcoin in the search : Bitcoin
2022-07-06 00:07:370 INFO  HomePage :79 - I clicked on search Button:[[ChromeDriver: chrome on WINDOWS (7be7eafc3317ba381128d18f803c7f54)] -> id: nav-search-submit-button]
2022-07-06 00:07:128 INFO  ManageDriver :33 - Launching Chrome Browser
2022-07-06 00:07:639 INFO  HomePage :59 - I clicked on Accept cookies: [[ChromeDriver: chrome on WINDOWS (ba344cb88fda92e9bca8dd5afba8504e)] -> xpath: //input[@id='sp-cc-accept']]
2022-07-06 00:07:860 INFO  HomePage :64 - I click on search in dropdown : [[ChromeDriver: chrome on WINDOWS (ba344cb88fda92e9bca8dd5afba8504e)] -> xpath: //select[@id='searchDropdownBox']]
2022-07-06 00:07:251 INFO  HomePage :69 - I select books from the dropdown : [[ChromeDriver: chrome on WINDOWS (ba344cb88fda92e9bca8dd5afba8504e)] -> xpath: //*[@id="searchDropdownBox"]/option[12]]
2022-07-06 00:07:476 INFO  HomePage :74 - Enter Bitcoin in the search : Bitcoin
2022-07-06 00:07:651 INFO  HomePage :79 - I clicked on search Button:[[ChromeDriver: chrome on WINDOWS (ba344cb88fda92e9bca8dd5afba8504e)] -> id: nav-search-submit-button]
2022-07-06 00:07:593 INFO  ManageDriver :33 - Launching Chrome Browser
2022-07-06 00:07:342 INFO  HomePage :59 - I clicked on Accept cookies: [[ChromeDriver: chrome on WINDOWS (9e6143a9bc87d008f0c2c14253025fb4)] -> xpath: //input[@id='sp-cc-accept']]
2022-07-06 00:07:596 INFO  HomePage :64 - I click on search in dropdown : [[ChromeDriver: chrome on WINDOWS (9e6143a9bc87d008f0c2c14253025fb4)] -> xpath: //select[@id='searchDropdownBox']]
2022-07-06 00:07:787 INFO  HomePage :69 - I select books from the dropdown : [[ChromeDriver: chrome on WINDOWS (9e6143a9bc87d008f0c2c14253025fb4)] -> xpath: //*[@id="searchDropdownBox"]/option[12]]
2022-07-06 00:07:46 INFO  HomePage :74 - Enter Bitcoin in the search : Bitcoin
2022-07-06 00:07:209 INFO  HomePage :79 - I clicked on search Button:[[ChromeDriver: chrome on WINDOWS (9e6143a9bc87d008f0c2c14253025fb4)] -> id: nav-search-submit-button]
2022-07-06 00:07:642 INFO  ManageDriver :33 - Launching Chrome Browser
2022-07-06 00:07:117 INFO  HomePage :59 - I clicked on Accept cookies: [[ChromeDriver: chrome on WINDOWS (c31e69ca64a56b049940307f2fafaaa1)] -> xpath: //input[@id='sp-cc-accept']]
2022-07-06 00:07:371 INFO  HomePage :64 - I click on search in dropdown : [[ChromeDriver: chrome on WINDOWS (c31e69ca64a56b049940307f2fafaaa1)] -> xpath: //select[@id='searchDropdownBox']]
